,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
843,꾸릉이빵댕이,KR1,87세나종우인생최후의어그로핑퐁,KR22,69.56521739130434
844,작 교,rk1,이긴 은혁,ROKMC,62.96296296296296
845,Afecto,2007,Shinomiya K,KR3,46.666666666666664
846,주유쿤,KR1,겜을접어야하는디,KR1,56.25
847,Q1776707802,KR1,십사검희,xxzz,91.30434782608695
848,六道仙人,CN3,Xxxxxxxxxkxxxxxx,xxxxX,38.095238095238095
849,간질오,KR1,최고순,kr777,62.5
850,내잘못이야미안해,KR1,sdase12k4a89sd,KR93,45.45454545454545
851,규쓰이,0427,つOωOつ,εïз,70.0
852,성아조,KR1,지돗개,KR1,52.94117647058824
853,성아조,KR1,뽀로포로,KR1,54.54545454545454
854,제 발,이겨줘,해 봐,지켜줄게,65.0
855,전우치님,KR1,노장은 죽지않는다,1999,61.53846153846154
856,LuLu,ffff,Fatal,KOR,60.0
857,잠지는공주의숲속,KR1,KHLee117,0117,40.0
858,바 밍,Bomb,늑대에게 선택받은 자 스웨인,KRI,55.00000000000001
859,정병멘헤라남,파오후뚱남,유기해봐죽을게,KR2,31.25
860,간절해 내게와줘,KR1,또 그 라인이야,2020,64.0
861,폐리카나,KR1,너 그러다 뒤져요,KR0,70.0
862,폐리카나,KR1,sup세라픽,KR1,70.0
863,제육잘볶는 룰루,맛 집,돈많은친구들이정이많아,1052,56.25
864,kokoala77,9339,옥동자,OK1,54.54545454545454
865,개감수,0101,Stey,KR1,77.27272727272727
866,동 민,03a,킹뱅크,KR 1,45.45454545454545
867,always sacrifice,KR1,흥미가 떨어졌어,KR1,68.18181818181817
868,주차전문가,kr0,돌아온탕아헌선생,KR1,51.85185185185185
869,로그보태기,KR1,91년생티모장인,KR2,60.0
870,장래희망 쵸비,KR2,선 우,0121,58.333333333333336
871,미안 던져볼게,KR1,Hensu,KR1,81.81818181818183
872,would of lol,KR1,hhggyy1206,1206,56.52173913043478
873,Call Ma Names,KR1,짱 구,19326,60.0
874,안전불감증,안전불감증,니게룽다요,구라띠,44.0
875,검   사,KR100,롤렉스는 안돼,KR1,60.0
876,밥 텅,KR1,12345678del,병 충,54.54545454545454
877,늙어 지친 남자,KR1,상한귤,KR2,50.0
878,Cog1LMo,Hello,190701,KR1,78.57142857142857
879,Wither Herb,KR1,우리는 아름다웠기에,KR2,63.1578947368421
880,세 연,KR2,똥지린예수,001,57.89473684210527
881,가장 큰 위험은 위험없는 삶,7771,메루시보구,롤접음,100.0
882,태풍 종다리,2024,우직하게전체차단,고추맨,64.0
883,김민지,저에요,가야동 페이커,KR1,70.0
884,샤이번,KR1,멸 준,KR2,69.23076923076923
885,간단한거야,so ez,오볼리,KR1,75.0
886,옹 자,KR2,귀여운양,평취주루,61.53846153846154
887,Panvale,KR1,그냥뺄걸,KR1,50.0
888,saddas,KR1,Letuda,KR1,67.85714285714286
889,oH 바,KR1,애교천재고양이우리아들이름은블랑,BLANC,54.54545454545454
890,브라키오사우르스,연무동,명탐정 코난,170,71.42857142857143
891,This is 야스오,KR1,봄 잉,0930,66.66666666666666
892,짱귀요미김철민,KR1,발부에나,KR2,57.14285714285714
893,화려한 솔로킬,하모예,오시돌이,KR1,31.57894736842105
894,왕자 지현태,Tae,不死大魔王,KR111,58.333333333333336
895,해킹좀처리해라,KR1,롤린이 현영,KR1,56.666666666666664
896,23범,KR1,오큐리,KR1,66.66666666666666
897,닥치고벨트차,KR1,로밍간다호응해라,KR1,60.0
898,감전철거드레이븐,k r,夢魔者,k r,53.84615384615385
899,이만큼소중해정말로,1120,IIIlllIIll,su1,60.0
900,GRF Sword,KR2,Temu Peyz,무료배송,42.857142857142854
901,정숙한용,KR1,케익의 평화,AKMU,57.14285714285714
902,하 율,hayul,유 담,hiyo,41.66666666666667
903,미움받을 아이,0000,chaeheejoon,KR1,66.66666666666666
904,무엇이 이 하늘에 닿을까,0409,baxk,KR1,27.27272727272727
905,무엇이 이 하늘에 닿을까,0409,초낙k,KR1,50.0
906,노란 Jay z,KR1,디태일 좀 살리자,디테일,80.0
907,잠자는 왕,KR2,Kuby,KR2,67.85714285714286
908,조화에요,조아해요,말 랑,0823,73.91304347826086
909,현상금 사냥꾼 렝가,KR1,Shalltear,KR1,50.0
910,칼리스타 오너,KR1,현수야놀자,KR1,50.0
911,말랑백구윈터,KR1,15s,KR1,38.46153846153847
912,EsjSmjJgh,KR1,잭스친구 JACKSON,KR1,52.94117647058824
913,EsjSmjJgh,KR1,정글차 딱 대X발,KR1,61.53846153846154
914,Fakre,KR4,이쁘니,KR123,64.28571428571429
915,Thisis50,KR1,파워서플라이,KR1,60.0
916,Thisis50,KR1,소담하다,1212,60.0
917,강민준,999,Rokudenashi,ただ声一つ,72.72727272727273
918,F점멸만 조저요,KR1,청와대문도박사,KR1,58.620689655172406
919,Xayah Luv,KR1,량 옹,ISFP,41.66666666666667
920,Hell Joseon,KR1,미 정,0423,54.54545454545454
921,애기버기,KR1,Jaedeok,KR1,20.0
922,뎃 킹,KR1,니도구쩔더라,TOOL,53.333333333333336
923,내잦이는황금잦이,KR1,이경딘,KR1,61.111111111111114
924,밍  여,KR1,de123,KR1,57.89473684210527
925,밍  여,KR1,씹떡맨,KR1,54.54545454545454
926,동이퍼,KR1,이게 힐링이지,KR1,45.45454545454545
927,트롤왕,KR10,인더북,KR1,66.66666666666666
928,뭉 가,KR1,하 늘,KR01,40.0
929,Winter,VHXG,Chama,Gr22,47.61904761904761
930,윤드로저,KR12,브랜드교과서,brand,64.0
931,사회적 두리거기,KR1,양벌통,KR1,95.83333333333334
932,먹구름,123,왜나만안돼,KR1,43.75
933,자이로스윙,KR1,망원동오너,KR1,51.85185185185185
934,뉴욕 거북이,KR1,배추가좋아요,KR1,68.96551724137932
935,벚 꽃,gosu,썬 콜,썬 콜,53.333333333333336
936,Jin Air TaNa,KR1,VicaL,5965,60.0
937,아갈장군,KR7,빵빵아 밥먹자,배고파,53.84615384615385
938,Akaps,전설의심지,다소 늙음,kr111,64.70588235294117
939,이유는있을거아냐,KR1,도구덕모,KR1,36.36363636363637
940,이유는있을거아냐,KR1,구원해주세요,guwon,60.0
941,공중에 뜸,상태이상,공중에 뜸,1SEC,70.0
942,th레sh,KR1,JDG gram,KR1,40.0
943,틸 모,KR1,Smile,miso,57.692307692307686
944,태 환,KR2,CELLENIQUE,KR1,85.71428571428571
945,미친만두,KR2,주어꾸억주이,KR1,56.25
946,어그레SIBAL,KR1,살려쥬라기,0000,50.0
947,밍 누,KR1,AD Carry,KR5,76.47058823529412
948,밍 누,KR1,늙은 원딜러,KR1,46.15384615384615
949,흙묻은칡먹은닭잡은삵,asd,으랍쇼,KR2,64.70588235294117
950,내이름이진딱,KR1,죽기장인,아제발,48.148148148148145
951,나와내이웃에게,KR1,월1000백수,KR1,42.30769230769231
952,5세현,KR1,양끼리3센치,양끼리,61.53846153846154
953,떡chill생각만 하는 김중호,칠가이,Selene,ch74,47.368421052631575
954,RPK 역행,1999,가 을,한가을,30.0
955,굵고단단한도끼,KR1,칼챔안해요,사실함,60.0
956,우리집도카카오바이크되게해주세요,kakao,현 우,kr22,71.42857142857143
957,x볼빨다 싼춘기x,KR1,쥐 여 워,KR1,54.54545454545454
958,쇠퇴기찬,KR1,vvint9r,888,60.0
959,آلة الجنس,KR69,대포알봉,KR1,56.666666666666664
960,포 로,2627,1픽얼굴내얼굴,KR1,76.92307692307693
961,후픽솔킬이범인,1111,순양맨진성준,KR1,57.14285714285714
962,zheuisa,KR1,백정의삶,7777,56.00000000000001
963,나졸리거든,KR1,YEOUK,KR1,40.0
964,전성하의오묘한발차기,전성하,한국대표백수,0423,46.15384615384615
965,아안먹,7468,Blue,kwb,63.63636363636363
966,간다따라온나,KR1,최지원,1999,58.620689655172406
967,Charlieputh,3064,칭찬 격려 배려,KR1,66.66666666666666
968,춘밑마,KR1,군 들,KR1,61.53846153846154
969,크레이님,9999,Xi7l,qqq,39.285714285714285
970,박경표,KR1,룰루랄라,작아져라,46.42857142857143
971,무시무시한복숭아,hmm,직스똥꾸멍에폭탄,KR1,47.05882352941176
972,게임못하는사람,kr2,Overcome7,KR1,66.66666666666666
973,Deft,KR0,Seum Dero,KR0,57.14285714285714
974,끼루룩끼루룩,3447,말걸지마세요,대꾸안함,80.0
975,Xi7l,qqq,크레이님,9999,43.333333333333336
976,鸡公煲鸡公煲经过我的胃,麦当劳,左手的锤子保护右手的花,斗罗大陆,69.23076923076923
977,주 밥,KR1,거 거,KR1,43.333333333333336
978,채팅치지말고겜하자,ddd,입열지말고겜하자,ddd,46.666666666666664
979,원딜폭주족,0112,아이스 아메리카노,5014,45.45454545454545
980,양홍열,KR1,가위든니달리,KR1,66.66666666666666
981,명반행동,blond,왕구리,kr2,31.25
982,어쩔수없잖아 세상은 잔혹하니깐,미카사,아무것도 버릴 수 없는 사람,1234,52.38095238095239
983,히  또,현숭이,火 影,004,37.5
984,Rocher,300,석 나가면 유준,0821,50.0
985,소나 vs 그라가스,5877,짙어진 R,KR1,83.33333333333334
986,qkrdhksgh,25th,크리스티아노메시와리오넬호날두,호메날시두,33.33333333333333
987,zl존다크재훈,KOR1,쪼 리,등 장,75.0
988,Tayod,ddd,Qian Xun,111,55.55555555555556
989,기 인,하 늘,채팅안칩니다 말 걸지마세요,3587,77.27272727272727
990,약점체크 드릴,7423,감자 껍질,KR1,62.96296296296296
991,only Tanking,0317,unforgivable,KR1,54.54545454545454
992,아동센터 대장,ljh,삭 기,tkrrl,31.25
993,LOFi,1024,정찬묵,KR1,57.14285714285714
994,Deft,小挽心,accccbbbbbaaaaaa,KR999,50.0
995,정글은 백정 서폿은 도구,2009,Die4Guy,0101,65.21739130434783
996,멍 멍,짖 어,주문은 토끼입니까,코코아쨘,43.333333333333336
997,은서콩,다주거써,일단나점프할테니까뒤좀봐줘,zac,56.666666666666664
998,대상혁팬티도둑,신상혁,HAPPY,데이식스,44.44444444444444
999,1game1ciga,jojo,Syndicate,KR3,61.111111111111114
1000,Motoyuusha,moto,기적논증,KR1,61.904761904761905
1001,뚜루루빵,KR1,바 둥,바둥단,66.66666666666666
1002,이원재,kr2,경상남도,666,40.0
1003,대한민국군대들지금까지뭐했노이기,stone,윤진성,kr2,52.94117647058824
1004,폴 포그바,충남대,영 진,КR1,63.63636363636363
1005,자라나는검은새싹,KR2,윤여환내이름석자걸고해,0000,27.27272727272727
1006,펭도리,포켓몬,꼬부기,0308,47.05882352941176
1007,오산 거주 롤대남,1206,광주 거주 롤대남,7777,56.666666666666664
1008,기 회,KR92,Emit,1234,40.0
1009,어린 시절의 꿈,0001,탑에사람살아요,88488,83.33333333333334
1010,아니1,jojo,Witch,857,42.857142857142854
1011,아니1,jojo,不要抓悦悦,1001,40.0
1012,광주 거주 롤대남,7777,오산 거주 롤대남,1206,50.0
1013,Flow,Just,Glyph,7040,41.66666666666667
1014,산나수,0607,늘 꺾인 마음,KR1,56.00000000000001
1015,엔터키뿌숨,K R,말 라 크,K R,50.0
1016,領域展開,MID,달 렛,KR1,58.82352941176471
1017,不要抓悦悦,1001,무봉중검,重剑无锋,65.51724137931035
1018,余命宣告,0830,푸림이아빠,김푸림,53.333333333333336
1019,Bhauer,2525,개구쟁이 노혈래,KR1,50.0
1020,프렌들리,9919,수준개bs,KR1,50.0
1021,나혼자만레벨업,나혼자,A heroic hero,KR1,61.904761904761905
1022,Nut Top,2002,hebi,0823,55.00000000000001
1023,레 렐,렐랠렐,건강한소환사님,KR1,54.54545454545454
1024,Artias12,KR1,크게꺾여버린마음,KR1,70.83333333333334
1025,찡얼찡얼 앵무새,찡얼찡얼,두데지 목장 주인,두데지렁이,72.72727272727273
1026,노정택,KR2,신 느,KR1,66.66666666666666
1027,Ong,wort,아 젱,KR1,57.14285714285714
1028,어제보다나은오늘,LIFE,김언호,KR12,55.55555555555556
1029,무봉중검,重剑无锋,不要抓悦悦,1001,66.66666666666666
1030,anheq,3326,JKL Fan,31117,54.54545454545454
1031,김뭉먕,뭉먕이,설효림,KR223,30.76923076923077
1032,한 번만 끌려줄래,그랩원툴,2024년7월1일전역,KR1,61.53846153846154
1033,빨간망토맛토스트,kr0,개패줄게,3626,60.0
1034,dopamine,33333,넌밑에있을때이뻐,인정받,65.0
1035,AyaseHaruka,KR2,胜不骄 败不馁,zypp,42.10526315789473
1036,lIIIIIIIIII,IlllI,박민주,귀여워,69.23076923076923
1037,TFE 트포이,KR1,나빵이,KR124,44.0
1038,오복련,0607,늘 꺾인 마음,KR1,51.724137931034484
1039,방 가 루,봉 봉,Mid xerath,제라스원챔,82.35294117647058
1040,준영영영영,KR1,도구말좀들어줘,KR1,43.75
1041,이상혁정지훈정상길남궁환렛츠고,kr999,굽네배달원,KR1,30.0
1042,Fury,SSG,광동귀환,KDF,57.14285714285714
1043,박치기공룡입니다,0000,쉬운것이라곤아쉬운것뿐,7777,50.0
1044,쉬운것이라곤아쉬운것뿐,7777,박치기공룡입니다,0000,50.0
1045,노 건 영,NGY08,披荆斩棘,JUJU,50.0
1046,코쿠시보우,9709,Thk about U,KR2,53.333333333333336
1047,patienceiskey,1253,옥 순,세최묘,80.0
1048,묵언수행,0925,묵언수행,0926,56.666666666666664
1049,섬모희,0607,늘 꺾인 마음,KR1,55.00000000000001
1050,박치기공룡,KR00,삼랑진,KR1,58.82352941176471
1051,박치기공룡,KR00,GODS,NJZ,60.0
1052,勸善懲惡,zypp,피 로,Day,100.0
1053,지우개,KRl,카와이레너드,0406,50.0
1054,광동귀환,KDF,Fury,SSG,56.52173913043478
1055,xiaoganguo,lll,acca,cca,61.111111111111114
1056,찡찡이mom bomb,kr2,Rookie,MID,64.70588235294117
1057,Kyrie Irving,kr10,강우민,0830,38.46153846153847
1058,새 우,mnn,걷다보니벌써,겨 울,55.00000000000001
1059,87세박옥춘할배인생최후의카이팅,KR2,김겨리06,KR1,38.88888888888889
1060,리 퍼,1004,king paca,KR1,60.0
1061,원 딜,아 기,ap most pick,KR1,92.85714285714286
1062,smile,yaha,フリーレン,猫猫qvq,52.38095238095239
1063,라이전의악마거리조절의,KR3,먹보 수길,KR1,73.33333333333333
1064,여 우,웅 수,Karina,331,72.72727272727273
1065,앵 두,КR1,コリラックマ,づへど,38.46153846153847
1066,아스팔트박치기공룡,kr2,뿌르뚜쥬르,KR1,64.70588235294117
1067,이즈리얼만하는계정,ezrl,跳梁跋扈,fleta,59.25925925925925
1068,Юми,냥  냥,운 명,4050,47.05882352941176
1069,무직백수배규이,스팸구이,무직백수김거녕,배규이,30.76923076923077
1070,무직백수배규이,스팸구이,김거녕 키우기,뚱냥이,30.0
1071,전민경,1234,아스널,KR11,57.14285714285714
1072,규창씨,KR1,           YSLLL,KR1,62.96296296296296
1073,티팬티스폰지밥,kr24,쥬돌이,KR1,21.428571428571427
1074,야생의목이버섯,5908,Shako,911,54.54545454545454
1075,러 브,S 2,Happy,A32,66.66666666666666
1076,미드가 지면 정글탓,1211,발이나먹어라,KR1,38.46153846153847
1077,돼지보이,132kg,민주바라기,KR722,66.66666666666666
1078,돼지보이,132kg,3miaohoushanile,lulu,81.81818181818183
1079,나무킹,우드득,운이 전부,0423,59.25925925925925
1080,純靈魂對話,bye,DOG4444,6106,61.53846153846154
1081,IllIllIlllll,qsaz,IllIllIllll,zczxc,50.0
1082,겜도못하면뭐잘해,돈잘버니,동구여중꽃미녀,KR1,57.14285714285714
1083,Lanos,KR5,곰젤리파두목,KR1,63.33333333333333
1084,스물다섯번째밤,KR3,sibarsegi77,KR1,66.66666666666666
1085,빙 하,둘 리,화기중대엄지원,KR1,74.07407407407408
1086,NAVERGIVEUP,WIN,미친과학 자직스,boom,72.41379310344827
1087,JustLikeThatKR,8629,한폴낙 도 낙이다,50000,64.28571428571429
1088,부천나라배달공주,라이더,아이에스티제이,KR1,60.0
1089,헤카림두개골덮밥,kr2,먹색그림자,KR1,54.54545454545454
1090,Emperor,KR4,yayk,STRBY,66.66666666666666
1091,나 이휘성 아니다,0113,머그호랭이,3121,40.0
1092,나 이휘성 아니다,0113,수 호,기 사,64.28571428571429
1093,scsd,wywqd,暹罗猫,baby,64.70588235294117
1094,맥날더블쿼파치장인,7777,화염독성학,KR1,46.15384615384615
1095,메피스토,펠레스,흥분돼서폿아,KR1,45.45454545454545
1096,메피스토,펠레스,으 앓,KR1,45.45454545454545
1097,qqqqq,wywq,tweetypie,2006,52.63157894736842
1098,요 미,0301,야 미,0301,53.333333333333336
1099,Zhitao,QAQ,딸타가먹고싶은이지형,완병철,80.0
1100,핫플짐,KR 1,괴물쥐,1277,66.66666666666666
1101,핫플짐,KR 1,졔드킹,KR1,46.666666666666664
1102,푸르미르,0420,꼬발이,KR1,47.368421052631575
1103,SESCO,벌레박멸,나는카정너는걱정,KR1,43.75
1104,임준휘,0821,킁킁이,킁 킁,50.0
1105,정예진따까리,잘할게,뜨 엥,1020,61.53846153846154
1106,단테 파우스트,KR1,완벽한 일격,우주류검술,46.666666666666664
1107,아이스아메리카노,카페라떼,프링글스,1234,56.25
1108,용현동 구마유시,KR1,도구와 백정 그 사이,KR01,50.0
1109,인성터진정신병자,rex,십사검희,xxzz,53.333333333333336
1110,저돌적,1892,엉큼한거북이,1234,28.57142857142857
1111,엄마밥줘여,KR1,霹靂一閃,네모네모,60.0
1112,백소월,백XX,피지컬 없는 플레,KR1,69.23076923076923
1113,커피한잔,123,응애애애애애애애,KR1,43.75
1114,한남심장폭격기,4241,얼 돼,KR1,50.0
1115,冬 眠,hao,CAQ神德,dadi,36.0
1116,전생의 업,건실하게,진찐찐찐진진,REAL,61.904761904761905
1117,リブンタロン,ITRYY,Black Hamster,KR1,47.82608695652174
1118,RNineT,0424,거품많이,KR1,58.333333333333336
1119,tianxiaweigong,0312,桜流し,101,45.45454545454545
1120,이리재미뗘재미뗘재미뗘,이터널리턴,장경철,1818,45.45454545454545
1121,你好1,你好 1,아이스팀 카서스,123,60.0
1122,hbinaaa1,0810,마딱이까지뮤트올,kr2,75.0
1123,자 크,kor11,이쁜가현,KR1,76.92307692307693
1124,오공자,KR1,엔 따,KR1,36.36363636363637
1125,beanoo,0331,LY june,KR1,68.96551724137932
1126,소년가장 원딜,7185,단무지 두 장,KR1,70.37037037037037
1127,자몽허니블랙티 벤티,스타벅스,아이들을 위해,KR0,60.0
1128,괴물쥐,sexy9,기석두,KR2,70.58823529411765
1129,Rando,777,암흑의별쓰레쉬봇,KR1,76.92307692307693
1130,Rando,777,새로운 나,치 우,76.92307692307693
1131,안녕 나는 주리미,미생물,오구리,GEN,58.620689655172406
1132,내가 다 미안해,SAD,여 자,계 집,83.33333333333334
1133,ice,yuy,wobutaijide,8822,46.15384615384615
1134,냥냥이,9918,집 사,1903,60.0
1135,집 사,1903,냥냥이,9918,60.0
1136,대 고 츄,TOP,카투차,KR1,50.0
1137,엔비 데마라,1111,S2erkoy,KR1,51.724137931034484
1138,무색무취,7853,받아친다,KR1,73.07692307692307
1139,깅동웅,2222,안녕하욤,KR1,63.63636363636363
1140,고양이두루치기,0109,Puff1129,KR1,44.44444444444444
1141,매너롤유저,KR1,숟가락제조,KR1,59.09090909090909
1142,서은뉴냐,0815,thisx2woo,KR1,81.81818181818183
1143,오늘도나혼자홀로,kr3,갱공구,KR1,63.63636363636363
1144,돌아온킹정석,KR1,침착하고여유롭게,카이팅,61.904761904761905
1145,본진기억이안나,look,바토쫄병,동그라미,50.0
1146,아뿔싸대마왕,KR1,자라도리,KR1,64.28571428571429
1147,아뿔싸대마왕,KR1,용찬우,Neo쎄용,38.46153846153847
1148,큰 실력 차이,asd,엄성호,KR1,69.56521739130434
1149,그대가그리운건지그때가그리운건지,KR1,알록달록 해커 아크샨,KR1,80.0
1150,조선제일검,owo,하나코 나나,KR2,43.47826086956522
1151,말랑카우 꼬집기 5단,비틀고싶네,바텀개,개서연,73.07692307692307
1152,즐겜용,0720,공협지,kr7,52.38095238095239
1153,엄성호,KR1,춘천남부초등학교,KR1,66.66666666666666
1154,가치없는사람,0209,이오덕과이말룡의도주,KR2,70.58823529411765
1155,uuu,bbb,Blue,UZG8,35.714285714285715
1156,Reichtum,企業家,Eye of Twilight,0805,70.0
1157,잘 지내자 우리,여름날 우,규 디,넷카마공주,60.71428571428571
1158,NEXUS,ADC01,재 리,KR125,56.00000000000001
1159,쵸천지,0303,나건드리면물거야,KR1,70.0
1160,깨비드릴조7777,KR1,김상혁,1207,40.0
1161,koi no yokan,1101,whatishurt,6883,80.0
1162,미움받을 용기,슈퍼크래액,이재우05,KR1,33.33333333333333
1163,세현공쥬,KR3,귀 주 출 천 방,KR1,55.55555555555556
1164,엉덩이미남홀란드,KR1,김통하,KR1,50.0
1165,DWG Nuguri,6666,gum1412,KR1,66.66666666666666
1166,DWG Nuguri,6666,Lucid,AKAA,27.27272727272727
1167,옷코츠 유욱타,111,T1 구마유신,KR1,66.66666666666666
1168,롤은 간단하게,KR1,어지러울 빈,KR1,52.17391304347826
1169,Mauve,연보라색,이지원,КR1,73.33333333333333
1170,Mauve,연보라색,원딜연습계정,KMK,76.92307692307693
1171,이화여대최순실,KR1,171323deI,KR2,54.54545454545454
1172,저 러,KR1,zelicateszephyr,1942,36.36363636363637
1173,Zegus,KR1,킴상추,KR1,78.57142857142857
1174,물렁2,KR1,Ilikepuxxy,wkdt5,14.285714285714285
1175,신시류,KR1,봉숭아학당,KR1,80.0
1176,김뭉먕,OwO,스마일,긍준이,40.0
1177,벌레정글은핑,4275,탐스제로,300,58.82352941176471
1178,힘빼기,KR1,YxxxDx,Kxx,75.0
1179,wohui changshi,CHN1,truck,0126,42.10526315789473
1180,롤스타 둘리,호이잇,일륜화,一輪花,20.0
1181,버니즈이시봉,버니즈,하양송이,KR1,61.111111111111114
1182,e4e5Nf3Nc6Bb5,KR1,대전역빵도둑,12136,68.18181818181817
1183,ごじょう さとる,KR22,오세바리,KR1,40.0
1184,건물주가될래요,KR1,0다람쥐0,다람쥐,55.00000000000001
1185,heude,9802,양구의 아들 소방,KR1,40.74074074074074
1186,민모데99,8388,이기적인놈,1017,63.63636363636363
1187,롤박사 성도리,KR2,롤박사 제도리,KR1,55.00000000000001
1188,기 사,0902,여자임,봐주세요,80.0
1189,DRTM136,KR1,타 닭,KR1,57.14285714285714
1190,스포츠파크,KR2,Drunk text,love,63.63636363636363
1191,민트초코샬코,공주님,하나회 전두광,KR062,65.51724137931035
1192,어젯밤에난니가싫어졌어으쌰라으쌰,소방차,FLY Quad,KR24,42.30769230769231
1193,이러시면곤란해요,말예쁘게해,aleaund,hide,76.47058823529412
1194,camilo,KR1,불꽃남자 윤석훈,1524,60.0
1195,징버거가짱센주제에너무신중하다,317,ZAYN,ZA4N,80.0
1196,백일청천,KR1,로 션,KR1,68.0
1197,대두레이븐,1234,jungIe zac,KR1,43.75
1198,시럽계,시럽계,원딜애기,KR1,71.42857142857143
1199,woof and meow,KR1,쿠 키,영도리,43.75
1200,미스터마켓1 ,KR1,바꾸라고하지마,9204,69.56521739130434
1201,구름 예쁘다,KR1,winter,kr145,61.904761904761905
1202,balli03,KR1,NevergiveuP,KR7,61.53846153846154
1203,GaoJinSay,KR1,문어아사랑해I,KR1,63.63636363636363
1204,애루러,2024,앱씨봉,2024,75.0
1205,애루러,2024,myisasbttg,MYIS,75.0
1206,정희범,KR2,IlIlIlIlIlIlIlII,KR99,56.25
1207,도토리대장,へヮへ,콩순이,へヮへ,60.0
1208,고양이박이,KR1,asdfaadas,KR1,40.0
1209,고추2개,KR1,왕누나,KR1,42.857142857142854
1210,asd1123,KR1,zxzxzxzxzx,111,79.16666666666666
1211,AlwaysPlanAhea,KR1,Pmang,KR1,50.0
1212,엄무무,KR1,윽 성,KR1,68.42105263157895
1213,엄무무,KR1,배 급,KR1,80.0
1214,qwerrew,KR1,시진핑핑,KR2,57.14285714285714
1215,대 파,paa,KHM Ghost,KR1,38.46153846153847
1216,0ll0llllll0l,KR1,일산약쟁이,KR1,63.63636363636363
1217,올뮤트하고빡겜,KR1,바텀안오면대가리박음,KR721,47.05882352941176
1218,올뮤트하고빡겜,KR1,0nerr00,KR1,69.23076923076923
1219,Res Novae,0430,づッづ,0430,72.72727272727273
1220,드랍세트,KR1,S5 foundry ,KR1,100.0
1221,시 바 콩,KR2,iiilililillll,123,50.0
1222,김범수똘추새기,2000,녹슨단검,KR1,50.0
1223,김범수똘추새기,2000,토크금지,KR1,58.333333333333336
1224,모기먹는도마뱀,KR1,파리먹는도마뱀,KR1,50.0
1225,Radiohead,Gods,2023년 겨울,KR1,37.03703703703704
1226,파리먹는도마뱀,KR1,모기먹는도마뱀,KR1,50.0
1227,성하니,1776,Ambitionem,KR1,44.44444444444444
1228,성하니,1776,kkkkk,kr3,66.66666666666666
1229,덤던크,KR1,맘에안들면던지기,KR2,64.28571428571429
1230,또유니,세젤귀,무조건잘한다,KR1,64.28571428571429
1231,20학번21군번22학번,KR1,zhu ding,CN1,71.42857142857143
1232,Aug,16th,대상현,shy,53.333333333333336
1233,つoωoつ,aaa,자꾸갓,KR3,54.54545454545454
1234,김현진,0424,더 간절한 상수냥,KR1,64.70588235294117
1235,黄梁梦,EKKO,否极泰来,Nova,23.076923076923077
1236,탑은탑일뿐,KR1,새객끼,4811,50.0
1237,고길동의길,KR1,성지나,차돌이,63.63636363636363
1238,Wing,0309,지 니,7230,41.66666666666667
1239,Daybreak,3527,채팅끄기,인게임집중,62.06896551724138
1240,Rn1705,9305,예리한편이야,KR1,68.18181818181817
1241,장래희망두이팅,0712,따 오,000,46.666666666666664
1242,굴룽쇠,KR1,부영아대학가자,KR1,57.14285714285714
1243,Shield,J g,동 대,KR1,60.0
1244,위드현,4783,풍암동며루치,KR1,40.0
1245,ggaevogue,KR1,ALCARD,4211,56.52173913043478
1246,0in,KR1,아펠리오스,KR124,51.85185185185185
1247,간절함의 부재,KR1,탁지지,KR1,61.53846153846154
1248,묵찍딴딴임씨,nnn,披荆斩棘,JUJU,53.333333333333336
1249,한창 키 클 나이,000,Bust It,KR1,84.21052631578947
1250,에렌 머플러를 둘러줘서 고마워,KR0,모래마을닌자,0806,63.1578947368421
1251,홍차맛 다람쥐,masha,아침포도햇살봉봉,KR1,60.0
1252,무지 개 같은날,1818,쁘띠뽀짝 거노,KR1,52.94117647058824
1253,TES mingyun,KR1,Thor,KR1,61.904761904761905
1254,피지컬연습쓰레기,KR1,람머스가조아요,KR1,70.58823529411765
1255,波西波伊亞,CN1,내란의힘윤석열,8639,90.9090909090909
1256,알록달록 해커 아크샨,KR1,그대가그리운건지그때가그리운건지,KR1,80.0
1257,은석초등학교,KR1,이가페,페쵸비쇼가,53.84615384615385
1258,Kalah Heigaari,KR1,아 담,김성경,62.5
1259,제리는 쓰러지지 않아,불의 의지,09SUP,cat,100.0
1260,찹딸썩,KR1,치지말라고 제발,KR1,57.89473684210527
1261,Colorlist,7715,웃으며 너를 만나,KR1,71.42857142857143
1262,원 딜,0404,서 폿,0404,63.33333333333333
1263,민 석,KR4,방찬혁,KR1,57.14285714285714
1264,POEM,43th,빨리뽑는연막탄,LEAN,72.22222222222221
1265,래서펜다,KR1,닭 목장,KR1,57.14285714285714
1266,iowerjpk,KR1,예 뭐 하면하죠,호로록,60.86956521739131
1267,사도 배드로,levi,연대최고미드,11111,91.66666666666666
1268,진이커진비진카,KR1,Sload,kr2,46.15384615384615
1269,바밤바,좋아하는람,이세진,8226,50.0
1270,버태주,KR1,다 그만,KR1,70.0
1271,cantile,KR1,llliillliiillil,KR1,76.92307692307693
1272,맥심커피조절장인,KR1,병기번호 533384,KR1,86.20689655172413
1273,oUo,KR12,Trust Heart,서 준,62.5
1274,TAEHYUN,KR2,민정용,9352,42.857142857142854
1275,Diana Best,KR1,길 짜오,KR1,60.71428571428571
